id,title,class
0,这个寒假我管得有点宽,工学-兵器科学与技术-武器系统与运用工程
1,在“互联网+”背景下对高中政治课堂教学模式的研究,工学-控制科学与工程-模式识别与智能系统
2,小学语文素质教育浅谈,工学-兵器科学与技术-武器系统与运用工程
3,小学音乐课堂兴趣与高效课堂搭建,工学-兵器科学与技术-武器系统与运用工程
4,从细节入手从小事做起——做学生喜欢老师的几点做法,工学-控制科学与工程-导航、制导与控制
5,小学班主任的管理艺术之我见,工学-兵器科学与技术-兵器发射理论与技术
6,新课标下高中物理教学之反思,医学-基础医学-人体解剖和组织胚胎学
7,加强训练提高小学数学的教学能力,工学-控制科学与工程-检测技术与自动化装置
8,中职语文教学如何创建效率课堂研究,工学-兵器科学与技术-军事化学与烟火技术
9,对新课标下高中物理课堂教学模式的反思,医学-基础医学-人体解剖和组织胚胎学
10,探究小学道德与法治教学目标的制定,教育学-教育学-教育技术学（可授教育学、理学学位）
11,杏林医德论,医学-公共卫生与预防医学-儿少卫生与妇幼保健学
12,新时代背景下国有企业政工管理模式优化创新探究,工学-兵器科学与技术-武器系统与运用工程
13,浅谈培养初中学生数学“推理、提问和创新”能力,经济学-应用经济学-财政学（含∶税收学）
14,初中数学教学浅析,工学-兵器科学与技术-兵器发射理论与技术
15,谈初中语文教学运用情感教育教学,工学-兵器科学与技术-武器系统与运用工程
16,初中物理教学中创造性思维的培养,工学-控制科学与工程-检测技术与自动化装置
17,浅析初中政治教学存在的问题与对策,经济学-应用经济学-财政学（含∶税收学）
18,如何做好小学班主任工作,工学-兵器科学与技术-武器系统与运用工程
19,试论分层教学的有效途径,工学-兵器科学与技术-武器系统与运用工程
20,小学语文教学如何培养学生的自主创新能力,工学-兵器科学与技术-武器系统与运用工程
21,浅析如何做好小学语文阅读教学,教育学-教育学-教育技术学（可授教育学、理学学位）
22,小学语文教学中如何进行美育渗透,医学-基础医学-人体解剖和组织胚胎学
23,中学数学中的美育小议,农学-畜牧学-特种经济动物饲养（含：蚕、蜂等）
24,探析高中班主任班级管理方法,工学-控制科学与工程-检测技术与自动化装置
25,浅谈高中物理教学中的问题设计,工学-控制科学与工程-检测技术与自动化装置
26,小学数学游戏教学过程中的应用,农学-农业资源利用-植物营养学
27,浅谈如何提高小学数学课堂实效,工学-兵器科学与技术-武器系统与运用工程
28,如何建立轻松愉快的课堂氛围,工学-兵器科学与技术-武器系统与运用工程
29,研究高中物理课堂教学中高效教学的应用策略,工学-兵器科学与技术-兵器发射理论与技术
30,智能化管理对我国当代图书馆管理工作的影响分析,经济学-应用经济学-财政学（含∶税收学）
31,高校图书馆在大数据环境下的学科服务策略,工学-兵器科学与技术-武器系统与运用工程
32,现代企业档案管理工作的信息化建设探析,工学-航空宇航科学与技术-航空宇航推进理论与工程
33,枸杞标准化栽培技术,农学-畜牧学-动物遗传育种与繁殖
34,小议如何促使初中政治实现高效化教学,工学-控制科学与工程-检测技术与自动化装置
35,如何在高中生物课堂中渗透人文精神教育,教育学-体育学-体育人文社会学
36,初中语文课堂中作文创新教学之管窥,工学-控制科学与工程-检测技术与自动化装置
37,小学数学集体备课中教育资源共享的研究,工学-兵器科学与技术-武器系统与运用工程
38,初中音乐教学渗透新课程理念方法浅谈,工学-兵器科学与技术-军事化学与烟火技术
39,浅析如何提高高校计算机网络教学的有效性,工学-控制科学与工程-模式识别与智能系统
40,农村中学生学习英语兴趣的培养,工学-兵器科学与技术-武器系统与运用工程
41,浅析小学数学教学导入设计的几点思考,工学-控制科学与工程-检测技术与自动化装置
42,让积累的语言活化,工学-兵器科学与技术-武器系统与运用工程
43,浅论苏轼的人生态度,医学-基础医学-人体解剖和组织胚胎学
44,公路桥梁施工中的软土地基施工技术探究,工学-交通运输工程-道路与铁道工程
45,小学数学课堂教学中激发学生学习兴趣的方法探讨,工学-控制科学与工程-检测技术与自动化装置
46,在初中英语语法教学中存在的问题和解决措施,工学-兵器科学与技术-武器系统与运用工程
47,高中英语书面表达中的几点思考,工学-控制科学与工程-导航、制导与控制
48,有关高中生物教学的探讨,农学-农业资源利用-植物营养学
49,童谣的德育功能及其运用,工学-兵器科学与技术-武器系统与运用工程
50,动画资源在小学美术教学中的有效利用,工学-兵器科学与技术-武器系统与运用工程
51,如何加强小学班主任管理工作,军事学-军队政治工作学-军队政治工作学
52,如何构建开放式小学数学课堂,经济学-应用经济学-财政学（含∶税收学）
53,促进学生自主学习的几点体会,工学-兵器科学与技术-武器系统与运用工程
54,浅析英文歌曲在高中英语教学中的作用,工学-兵器科学与技术-武器系统与运用工程
55,浅谈莫言的艺术风格,工学-兵器科学与技术-武器系统与运用工程
56,一种新式镗刀,工学-材料科学与工程-材料加工工程
57,公共图书馆现代科普教育思考,农学-农业资源利用-植物营养学
58,大数据时代图书馆服务创新策略分析,工学-控制科学与工程-检测技术与自动化装置
59,纪念馆免费开放现状及对策研究,工学-控制科学与工程-检测技术与自动化装置
60,基于资源网络共享理念下的图书馆馆藏文献开发策略,工学-兵器科学与技术-武器系统与运用工程
61,初中政治教学之我见,工学-控制科学与工程-检测技术与自动化装置
62,谈小学数学课堂设计,工学-仪器科学与技术-测试计量技术及仪器
63,基于词块的初中英语写作教学探究,工学-兵器科学与技术-武器系统与运用工程
64,谈初中数学的教学策略,工学-控制科学与工程-检测技术与自动化装置
65,高中数学教学须发挥试卷讲评课的激励功能,工学-控制科学与工程-导航、制导与控制
66,我的梦想,工学-兵器科学与技术-武器系统与运用工程
67,浅析情境教学法在中职计算机教学中的应用,工学-兵器科学与技术-武器系统与运用工程
68,新理课程下的高中语文阅读教学,工学-兵器科学与技术-武器系统与运用工程
69,提高小学数学课堂教学的有效性,工学-控制科学与工程-检测技术与自动化装置
70,浅议小学语文阅读识字教学,农学-畜牧学-特种经济动物饲养（含：蚕、蜂等）
71,以互动教学为载体构建初中科学课堂,工学-控制科学与工程-模式识别与智能系统
72,如何做好班主任和班主任工作自身能力与核心问题的研究,工学-兵器科学与技术-武器系统与运用工程
73,初中英语教学中如何发挥学生主体作用,工学-兵器科学与技术-武器系统与运用工程
74,小学语文童话教学的有效性措施,工学-兵器科学与技术-武器系统与运用工程
75,如何提高小学语文课堂教学有效性,工学-控制科学与工程-导航、制导与控制
76,如何增强初中历史教学趣味性,工学-兵器科学与技术-武器系统与运用工程
77,改变观念搞好体育教学,工学-控制科学与工程-检测技术与自动化装置
78,浅谈初中语文课堂情境教学的有效性,工学-控制科学与工程-检测技术与自动化装置
79,浅谈初中物理探究式课堂教学,工学-控制科学与工程-导航、制导与控制
80,小学英语高效课堂的构建浅析,工学-兵器科学与技术-武器系统与运用工程
81,高中物理教学中如何培养学生创新能力,教育学-心理学（可授教育学、理学学位）-发展与教育心理学
82,小学数学教学如何培养学生的素养,工学-兵器科学与技术-军事化学与烟火技术
83,提高小学数学课堂教学质量的对策,工学-控制科学与工程-检测技术与自动化装置
84,高效课堂是初中英语教师的境界,工学-兵器科学与技术-武器系统与运用工程
85,小学音乐教学中合唱教法的策略分析,工学-兵器科学与技术-武器系统与运用工程
86,浅析多媒体技术在初中历史教学中的应用,工学-控制科学与工程-模式识别与智能系统
87,立足岗位做“四讲四有”干部教育培训学院合格党员教师,军事学-军队指挥学-军事教育训练学（含：军事体育学）
88,小学语文拼音学生认知分析,军事学-军队政治工作学-军队政治工作学
89,探究小学数学教学方法的优化,农学-农业资源利用-植物营养学
90,浅析初中语文汉语言文学教学,工学-兵器科学与技术-武器系统与运用工程
91,浅析边疆地区物理教学中如何创设物理情境提高课堂效率,工学-控制科学与工程-导航、制导与控制
92,浅谈初中化学教策略,工学-兵器科学与技术-军事化学与烟火技术
93,德育为先，深化五德教育活动,工学-控制科学与工程-检测技术与自动化装置
94,小学语文教学中如何联系生活的个人看法,工学-兵器科学与技术-武器系统与运用工程
95,如何契合课改创新理念优化初中语文教学方式,工学-航空宇航科学与技术-航空宇航推进理论与工程
96,高中语文新课程改革势在必行,工学-兵器科学与技术-武器系统与运用工程
97,小学体育教学有效途径的策略研究,工学-控制科学与工程-导航、制导与控制
98,说说“差生”,工学-仪器科学与技术-测试计量技术及仪器
99,聋生心理健康教育教学的问题与思考,工学-兵器科学与技术-武器系统与运用工程
